Date,Open,High,Low,Close,Volume,Adj Close
2013-06-05,2.96,3.08,2.90,3.06,10585400,3.06
2013-06-04,2.83,3.00,2.78,2.85,7724500,2.85
2013-06-03,2.76,3.05,2.76,2.80,13959100,2.80
2013-05-31,2.69,2.79,2.62,2.79,6244300,2.79
2013-05-30,2.66,2.69,2.60,2.64,4075400,2.64
2013-05-29,2.64,2.74,2.60,2.64,6346600,2.64
2013-05-28,2.55,2.64,2.53,2.57,6037000,2.57
2013-05-24,2.78,2.80,2.68,2.68,6219200,2.68
2013-05-23,2.90,2.93,2.68,2.71,11601700,2.71
2013-05-22,2.56,2.75,2.54,2.67,8868400,2.67
2013-05-21,2.57,2.63,2.53,2.61,6164100,2.61
2013-05-20,2.58,2.58,2.51,2.58,4724000,2.58
2013-05-17,2.62,2.64,2.51,2.52,7075300,2.52
2013-05-16,2.65,2.71,2.60,2.66,4052700,2.66
2013-05-15,2.64,2.65,2.57,2.62,3595500,2.62
2013-05-14,2.60,2.63,2.56,2.58,3803400,2.58
2013-05-13,2.65,2.70,2.61,2.61,3640000,2.61
2013-05-10,2.70,2.76,2.63,2.65,5022500,2.65
2013-05-09,2.64,2.77,2.60,2.68,7216900,2.68
2013-05-08,2.63,2.69,2.59,2.60,4756500,2.60
2013-05-07,2.54,2.65,2.53,2.58,4888700,2.58
2013-05-06,2.73,2.73,2.60,2.65,5871400,2.65
2013-05-03,2.74,2.76,2.70,2.74,7189300,2.74
2013-05-02,2.88,2.92,2.81,2.84,6468100,2.84
2013-05-01,2.86,3.00,2.84,2.99,7030900,2.99
2013-04-30,2.87,2.93,2.80,2.80,4265400,2.80
2013-04-29,2.82,2.89,2.78,2.85,3800200,2.85
2013-04-26,2.95,2.99,2.87,2.87,6253800,2.87
2013-04-25,2.80,2.92,2.77,2.87,5586300,2.87
2013-04-24,2.86,2.91,2.77,2.86,5671500,2.86
2013-04-23,2.96,3.21,2.81,2.85,13193000,2.85
2013-04-22,3.26,3.45,3.06,3.15,8878200,3.15
2013-04-19,3.66,3.70,3.19,3.26,7197100,3.26
2013-04-18,3.46,3.89,3.44,3.71,14771800,3.71
2013-04-17,3.06,3.63,3.06,3.42,16387100,3.42
2013-04-16,3.05,3.18,2.86,2.88,9391900,2.88
2013-04-15,2.92,3.54,2.82,3.37,19938100,3.37
2013-04-12,3.07,3.10,2.87,2.88,7330000,2.88
2013-04-11,3.01,3.03,2.91,2.98,6381300,2.98
2013-04-10,3.13,3.16,3.01,3.04,7839000,3.04
2013-04-09,3.22,3.30,3.13,3.19,5498500,3.19
