Date,Open,High,Low,Close,Volume,Adj Close
2013-03-22,8.00,8.50,7.94,8.24,2808100,82.40
2013-03-21,8.26,8.50,7.87,8.29,3563800,82.90
2013-03-20,8.17,8.34,7.80,7.86,3596700,78.60
2013-03-19,8.39,9.70,8.31,8.78,5824500,87.80
2013-03-18,8.96,9.00,8.08,8.78,3748800,87.80
2013-03-15,8.04,8.30,7.86,7.93,2293100,79.30
2013-03-14,8.06,8.25,7.90,7.97,2061700,79.70
2013-03-13,8.30,8.65,8.15,8.26,2431600,82.60
2013-03-12,8.14,8.86,8.04,8.36,3331800,83.60
2013-03-11,8.84,8.92,8.10,8.13,2728400,81.30
2013-03-08,8.79,9.38,8.75,8.86,2727200,88.60
2013-03-07,9.41,9.58,9.10,9.10,1994900,91.00
2013-03-06,9.17,9.84,9.15,9.47,2403200,94.70
2013-03-05,9.42,9.62,9.30,9.40,2114200,94.00
2013-03-04,11.59,11.70,10.04,10.06,2618100,100.60
2013-03-01,11.93,12.49,10.89,11.26,4406400,112.60
2013-02-28,10.27,10.95,9.93,10.93,2668500,109.30
2013-02-27,12.15,12.40,9.91,10.31,3219000,103.10
2013-02-26,12.31,13.84,11.55,11.99,5316700,119.90
2013-02-25,9.25,12.86,9.00,12.65,4284300,126.50
2013-02-22,10.15,10.55,9.90,9.91,1668500,99.10
2013-02-21,10.24,11.39,10.24,10.63,3524200,106.30
2013-02-20,8.83,10.35,8.80,10.31,2357500,103.10
2013-02-19,9.45,9.46,8.71,8.76,1931100,87.60
2013-02-15,9.55,10.03,9.47,9.60,1757000,96.00
2013-02-14,10.17,10.29,9.64,9.74,1374700,97.40
2013-02-13,9.89,10.38,9.68,10.07,1573400,100.70
2013-02-12,10.12,10.26,9.77,9.92,1337500,99.20
2013-02-11,10.43,10.62,10.06,10.12,1176500,101.20
2013-02-08,10.78,10.81,10.41,10.53,1374200,105.30
2013-02-07,10.72,11.81,10.68,10.92,2039800,109.20
2013-02-06,11.59,11.66,11.01,11.02,1301400,110.20
2013-02-05,11.62,11.69,10.70,11.14,1439600,111.40
2013-02-04,11.28,12.12,11.04,12.10,1683600,121.00
2013-02-01,10.92,10.93,10.35,10.64,1596600,106.40
2013-01-31,11.93,12.08,11.32,11.85,1243600,118.50
2013-01-30,10.96,11.80,10.69,11.79,1811300,117.90
2013-01-29,11.45,11.62,10.30,10.45,1807000,104.50
2013-01-28,10.50,11.39,10.49,11.15,1423700,111.50
2013-01-25,10.46,10.96,10.20,10.56,1588000,105.60
2013-01-24,10.42,11.59,10.10,10.38,2017800,103.80
2013-01-23,10.86,10.94,10.18,10.29,1279200,102.90
