Date,Open,High,Low,Close,Volume,Adj Close
2011-01-26,71.43,75.14,70.71,74.41,17644800,37.21
2011-01-25,69.50,71.10,68.57,71.05,14128600,35.53
2011-01-24,69.27,71.55,69.00,70.74,15587200,35.37
2011-01-21,72.02,72.08,69.06,69.32,16520000,34.66
2011-01-20,71.87,73.00,69.66,70.70,25173000,35.35
2011-01-19,78.95,79.30,72.50,73.02,24667000,36.51
2011-01-18,78.13,79.08,76.93,79.01,13393600,39.51
2011-01-14,76.90,79.23,76.42,78.60,13110000,39.30
2011-01-13,77.26,78.12,76.06,76.94,12939000,38.47
2011-01-12,77.09,77.60,75.90,77.08,12785000,38.54
2011-01-11,75.48,76.31,74.10,75.34,18367200,37.67
2011-01-10,72.31,75.25,70.58,74.37,24571000,37.19
2011-01-07,75.13,75.68,70.09,73.25,19278800,36.62
2011-01-06,75.60,75.96,73.49,74.38,16325000,37.19
2011-01-05,72.82,75.47,72.00,75.43,14334800,37.72
2011-01-04,76.96,77.13,70.50,73.02,26903200,36.51
2011-01-03,74.41,77.42,73.84,76.21,16206400,38.10
2010-12-31,73.73,74.30,72.30,72.43,8134400,36.22
2010-12-30,74.21,75.27,74.07,74.08,8005600,37.04
2010-12-29,74.31,74.73,74.00,74.35,7141200,37.17
2010-12-28,75.01,75.13,73.44,74.00,10853600,37.00
2010-12-27,73.24,74.99,72.77,74.55,7345600,37.28
2010-12-23,74.59,75.02,73.61,74.00,9894400,37.00
2010-12-22,74.77,75.22,73.95,74.20,11383000,37.10
2010-12-21,72.72,74.46,72.58,74.31,11548800,37.15
2010-12-20,71.77,73.13,70.79,71.91,16902800,35.96
2010-12-17,70.54,71.39,69.07,70.95,14061000,35.47
2010-12-16,68.82,70.80,67.96,70.39,14518400,35.19
2010-12-15,69.03,71.16,68.06,68.50,17278800,34.25
2010-12-14,70.25,70.28,68.82,69.26,13072400,34.63
2010-12-13,71.14,71.57,69.23,69.25,15028400,34.62
2010-12-10,68.32,70.86,67.78,70.37,14691400,35.19
2010-12-09,68.56,68.58,67.05,67.90,16349800,33.95
2010-12-08,67.75,68.40,66.73,67.25,15646600,33.62
2010-12-07,68.53,69.00,66.80,67.29,23055000,33.65
2010-12-06,64.83,66.65,64.50,66.09,17409600,33.04
2010-12-03,62.77,65.46,62.63,64.89,18229200,32.44
2010-12-02,61.93,63.91,61.67,63.59,19111400,31.80
2010-12-01,61.06,62.13,60.95,61.68,19488600,30.84
2010-11-30,57.19,59.00,56.48,57.93,28707000,28.97
2010-11-29,58.35,59.63,56.07,59.25,23821600,29.62
2010-11-26,59.09,60.16,58.71,58.95,8299600,29.48
2010-11-24,57.90,60.19,57.89,60.10,18221000,30.05
2010-11-23,55.93,56.70,54.98,56.40,26472200,28.20
2010-11-22,56.57,58.44,55.57,57.98,20585200,28.99
2010-11-19,56.13,57.57,55.07,57.17,16192000,28.58
2010-11-18,55.41,57.44,55.40,56.64,17110000,28.32
2010-11-17,53.48,53.93,52.55,53.57,17745400,26.78
2010-11-16,55.10,55.56,51.97,53.08,34822400,26.54
2010-11-15,57.20,58.27,56.28,56.38,20443600,28.19
2010-11-12,57.62,58.96,56.14,56.40,28854400,28.20
2010-11-11,58.13,60.04,57.44,59.32,16583200,29.66
2010-11-10,58.35,60.11,56.67,60.02,23764600,30.01
2010-11-09,60.97,61.33,57.13,58.19,21173000,29.09
2010-11-08,60.18,61.01,59.03,60.55,16593000,30.27
2010-11-05,59.91,61.19,59.53,60.69,14315600,30.34
